x,y
9.695846277645586,7.2900716804098735
7.7513282336111455,7.712703466859457
9.394989415641891,0.7404465173409036
8.948273504276488,3.5846572854427263
5.978999788110851,1.1586905952512971
9.218742350231167,8.631034258755935
0.884925020519195,6.232981268275579
1.959828624191452,3.308980248526492
0.45227288910538066,0.6355835028602363
3.2533033076326436,3.109823217156622
3.8867728968948203,3.2518332202674705
2.713490317738959,7.29606178338064
8.287375091519294,6.3755747135521315
3.567533266935893,8.872127425763265
2.8093450968738076,4.722149251619493
5.426960831582485,1.195942459383017
1.4092422497476265,7.13244787222995
8.021969807540398,7.607850486168974
0.7455064367977082,5.612771975694963
9.868869366005173,7.70967179954561
7.722447692966574,4.937955963643907
1.987156815341724,5.227328293819941
0.05522117123602399,4.275410183585496
8.154614284548341,0.2541912674409519
7.068573438476172,1.0789142699330445
